Isolate.ID,DirTax_Class,Cluster.x,TotalIso.x,Inhibitory.x,NonInhibitory.x,Null,Contam,prop.inhib,prop.noninhib,prop.na,prop.contam,Closest_Cluster,Inhibition,DirTax_Phylum,Cluster.y,TotalIso.y,Inhibitory.y,NonInhibitory.y,Reason
Mada.1,Actinobacteria,519,6,3,3,0,0,50,50,0,0,NA,Inhibitory,Actinobacteria,519,,4,1,No better place to start than 1
Mada.1119,Actinobacteria,529,13,8,4,1,0,61.53846153846154,30.76923076923077,7.6923076923076925,0,0.029178981187104807,Inhibitory,Actinobacteria,529,,9,2,
Mada.1183,Actinobacteria,1016,4,1,1,2,0,25,25,50,0,0.009594244,NonInhibitory,Actinobacteria,1016,,NA,NA,
Mada.1198,Actinobacteria,1008,9,6,2,1,0,66.66666666666666,22.22222222222222,11.11111111111111,0,0.019249182349643845,Inhibitory,Actinobacteria,1008,,7,1,
Mada.124,Actinobacteria,919,4,1,3,0,0,25,75,0,0,0.009594244,NonInhibitory,Actinobacteria,919,,1,2,
Mada.1263,Actinobacteria,835,38,4,29,3,1,10.526315789473683,76.31578947368422,7.894736842105263,2.631578947368421,0.019249182349643845,NonInhibitory,Actinobacteria,835,,4,10,
Mada.1564,Actinobacteria,42,67,4,59,0,2,5.970149253731343,88.05970149253731,0,2.9850746268656714,0.019249182349643845,NA,Actinobacteria,42,,4,18,
Mada.1837,Actinobacteria,879,2,1,1,0,0,50,50,0,0,0.019249182349643845,Inhibitory,Actinobacteria,879,,2,1,
Mada.1842,Actinobacteria,880,6,1,1,4,0,16.666666666666664,16.666666666666664,66.66666666666666,0,0.009594244,Inhibitory,Actinobacteria,880,,2,1,
Mada.1883,Actinobacteria,547,2,1,1,0,0,50,50,0,0,0.009594244,NonInhibitory,Actinobacteria,547,,NA,NA,
Mada.1954,Actinobacteria,189,2,1,1,0,0,50,50,0,0,0.009594244,NonInhibitory,Actinobacteria,189,,NA,NA,
Mada.2012,Actinobacteria,1119,10,1,4,5,0,10,40,50,0,0.019249182349643845,NonInhibitory,Actinobacteria,1119,,NA,NA,
Mada.2105,Actinobacteria,1132,2,1,1,0,0,50,50,0,0,0.019249182349643845,Inhibitory,Actinobacteria,1132,,2,1,
Mada.2181,Actinobacteria,554,2,1,1,0,0,50,50,0,0,0.009594244,Inhibitory,Actinobacteria,554,,2,1,
Mada.2269,Actinobacteria,1104,7,4,2,0,1,57.14285714285714,28.57142857142857,0,14.285714285714285,0.019249182349643845,NonInhibitory,Actinobacteria,1104,,4,1,
Mada.2340,Actinobacteria,27,2,1,1,0,0,50,50,0,0,0.019249182349643845,Inhibitory,Actinobacteria,27,,NA,NA,
Mada.2346,Actinobacteria,28,8,2,6,0,0,25,75,0,0,0.009594244,Inhibitory,Actinobacteria,28,,NA,NA,
Mada.2349,Actinobacteria,21,21,7,12,2,0,33.33333333333333,57.14285714285714,9.523809523809524,0,0.028945639,NonInhibitory,Actinobacteria,21,,7,3,
Mada.2350,Actinobacteria,44,30,4,24,1,1,13.333333333333334,80,3.3333333333333335,3.3333333333333335,0.019249182349643845,NonInhibitory,Actinobacteria,44,,4,5,
Mada.2364,Actinobacteria,45,2,1,1,0,0,50,50,0,0,0.009594244,Inhibitory,Actinobacteria,45,,NA,NA,
Mada.2370,Actinobacteria,29,4,3,1,0,0,75,25,0,0,0.019249182349643845,Inhibitory,Actinobacteria,29,,NA,NA,
Mada.2375,Actinobacteria,46,3,2,1,0,0,66.66666666666666,33.33333333333333,0,0,0.019249182349643845,NonInhibitory,Actinobacteria,46,,2,1,
Mada.2377,Actinobacteria,34,11,6,2,2,0,54.54545454545454,18.181818181818183,18.181818181818183,0,0.019249182349643845,Inhibitory,Actinobacteria,34,,NA,NA,
Mada.2383,Actinobacteria,20,4,1,3,0,0,25,75,0,0,0.019249182349643845,Inhibitory,Actinobacteria,20,,NA,NA,
Mada.2385,Actinobacteria,24,6,3,3,0,0,50,50,0,0,0.019271787,NonInhibitory,Actinobacteria,24,,NA,NA,
Mada.2425,Actinobacteria,48,5,1,3,1,0,20,60,20,0,0.009594244,NonInhibitory,Actinobacteria,48,,NA,NA,
Mada.2434,Actinobacteria,65,4,2,2,0,0,50,50,0,0,0.009594244,NonInhibitory,Actinobacteria,65,,2,2,
Mada.2439,Actinobacteria,49,8,3,5,0,0,37.5,62.5,0,0,0.019249182349643845,NonInhibitory,Actinobacteria,49,,3,2,
Mada.2442,Actinobacteria,18,39,3,34,2,0,7.6923076923076925,87.17948717948718,5.128205128205128,0,0.019150192,NonInhibitory,Actinobacteria,18,,3,11,
Mada.2488,Actinobacteria,250,9,2,7,0,0,22.22222222222222,77.77777777777779,0,0,0.009594244,NonInhibitory,Actinobacteria,250,,2,2,
Mada.2492,Actinobacteria,475,4,1,3,0,0,25,75,0,0,NA,Inhibitory,Actinobacteria,475,,2,1,
Mada.2543,Actinobacteria,480,2,1,1,0,0,50,50,0,0,0.009594244,NonInhibitory,Actinobacteria,480,,NA,NA,
